A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
9955.580797056768,445.9901282577786,-4396.875198804638,5030.353431120211,-9951.277148622426,-3853.57002073851,-13854.731751269894,5647.963083279136,-1186.7479732082504,-10489.614386873665,11454.689851421675,-4244.273919673906
9308.936460761566,1052.1303349441741,-6272.611153766147,4756.933741546944,-11207.372951379017,-3947.7683962080423,-17448.252766867445,8249.635647002573,-2423.709974777775,-11863.907084847768,5824.617582102118,-5919.113649248841
11360.124772747233,1012.2950759988896,-4948.850991473181,6027.464598633024,-9978.639767481696,-4945.414267438331,-15751.781544858088,8135.82700119478,-388.0625418741267,-9349.049531051287,7622.083051186554,-4330.419817850258
10237.863752278558,4710.665801867148,-1559.2687376658291,520.6471527878739,-10084.383443261388,-1699.9133413732504,-17941.616652771372,5632.587915479738,-3546.3848521032924,-11161.519490345112,7578.691922251439,-5664.365918788629
9458.557961888833,4479.720051689225,-3647.729090406674,2950.8904765153197,-11408.286368933974,-2877.12137538149,-10770.046719162248,1784.5287133479494,-3694.1253521402555,-8490.690981825835,2629.4380999172163,-6518.0884409392365
9692.844565761648,-288.5809197024101,-3090.2353078044025,2376.0236718431356,-8188.753923803761,4411.556015302498,-7886.833313936691,2380.7056664438664,-4348.268473548979,-9686.945015065701,3840.9904277597075,-3088.3984467166765
10024.70017864805,8341.954843221103,-177.89296553480077,4199.233535906762,-10595.009323884206,4261.1566024929425,-9618.550816622574,2371.1116658514334,-3505.846335831775,-11040.983997869891,1333.3080186754696,-5643.6632628541365
7322.167212285004,4151.738691720541,-2516.6245125266983,-105.74149942407013,-9659.891607206573,3760.319326598263,-12684.944674482775,2979.576887861479,1082.018412333861,-6246.876071351101,-2078.0628068091132,-2239.9526709191264
7584.982877263258,2348.1522130752955,65.82199617087977,1059.0030104667087,-3088.5904443250815,6148.961945851076,-9270.612807928619,4093.548878197539,-893.5592708251036,-4457.238942844032,-4213.147295877531,2355.143885193954
8948.15831020509,2954.499432087977,-1460.463449976618,1693.497654921025,-7156.742925362672,7218.292669762415,-8988.02673567448,-430.21997646227334,1060.640819204358,-4394.8729949372455,-3855.456162763302,-360.9214260731227
