Sample	posterior	likelihood	prior	treeLikelihood.1	treeLikelihood.2	treeLikelihood.3	treeLikelihood.4	treeLikelihood.5	treeLikelihood.6	treeLikelihood.7	treeLikelihood.8	treeLikelihood.9	treeLikelihood.10	treeLikelihood.11	treeLikelihood.12	treeLikelihood.13	treeHeight.t:alignment	treeLength.t:alignment	insertRates.1	insertRates.2	insertRates.3	insertRates.4	insertRates.5	insertRates.6	insertRates.7	insertRates.8	insertRates.9	insertRates.10	insertRates.11	insertRates.12	insertRates.13	insertRates.14	insertRates.15	insertRates.16	insertRates.17	insertRates.18	insertRates.19	birthRate	samplingProportion	deathRate	clockRate_1	clockRate_2	clockRate_3	clockRate_4	clockRate_5	clockRate_6	clockRate_7	clockRate_8	clockRate_9	clockRate_10	clockRate_11	clockRate_12	clockRate_13	
3117000000	-10126.57022959258	-9937.084334339468	-189.48589525311226	-839.0178057413502	-752.639795883741	-803.090843374676	-770.7822187173899	-830.9834425339025	-872.5827150233125	-786.5618383356887	-821.573128212126	-765.1085936136831	-906.8821188060856	-820.1029981723213	-648.4622265672604	-319.2966093579307	24.819990233104818	1898.4330099358012	0.15835711955193124	0.14067946742133627	0.13757987493644616	0.12255938854450135	0.0760920285093312	0.090465456984985	0.06410157191084317	0.05349079360943682	0.044152324761333614	0.043266376389977754	0.027413068036080554	0.018965963130998784	0.004847774223602484	0.0043004066231983745	0.0028649476801191755	0.0038141995128142996	0.0036892055619388233	0.001702561647333957	0.0016574709637882346	0.5778082744778185	8.0E-5	0.0829088718234378	0.14706708208023386	0.12994660662073335	0.13634988597535014	0.13834081878701973	0.15287624092687768	0.16381139546861026	0.14918165508924516	0.15848061754053142	0.17344576194560837	0.16596585599677796	0.1543315078613618	0.15998780840734914	0.30519943062395244	
3118000000	-10129.53817266009	-9939.409421832152	-190.12875082793747	-841.9880838279414	-751.0258386852308	-803.4137495718616	-768.0496959170214	-836.6351222643418	-867.6026616614628	-779.9177358499824	-814.6824549426512	-756.4772577361617	-913.394585910074	-813.4961292101823	-659.120433706707	-333.60567254853396	24.958235324969387	1991.562197503216	0.15690523530737807	0.15222892926504034	0.14098916663762523	0.12099995975423611	0.07525028359035815	0.08857809459789699	0.05442333670777366	0.04380929435207321	0.051621284881379716	0.038822209498318785	0.030526280892131937	0.017480391828314682	0.00749384427453565	0.004102890192020984	0.0026355560346069127	0.005848163838442539	0.0037155557103922183	0.0015902212246464969	0.0029793014128254784	0.5111558784271495	8.0E-5	0.0347262484457088	0.13299824426201906	0.12172584528238475	0.13618198929415207	0.13659658106579928	0.1486050102400821	0.15682965500791043	0.13480886351180013	0.14849172505918937	0.16366474359921418	0.16170096004459483	0.13508414619448678	0.1687215981898915	0.32916172556807255	
3119000000	-10134.254200104344	-9941.077207202365	-193.17699290197928	-849.3938994005607	-757.2447838262364	-803.9264648433475	-766.1957805955846	-828.814959160314	-872.6310908288066	-785.0379161097782	-807.2147606707368	-757.4726928336694	-907.4171038993526	-817.7241439811405	-653.6286139150236	-334.37499713781415	24.757554222922632	1978.4815885660755	0.1585944614417241	0.14453830318150987	0.13197795220917852	0.12910900299172634	0.07317646019270836	0.08911640617668501	0.06321357927034119	0.05340770013851671	0.04109960005009069	0.03922038062255564	0.03186011674931863	0.015609977456179721	0.004711931095782865	0.005103523180269532	0.003142595747873171	0.005304694189403439	0.006140809202007614	0.001027157695455544	0.0036453484086699777	0.6644881231085966	8.0E-5	0.2079611880098172	0.1308934781740519	0.1285176533226221	0.1246758550162654	0.14638827951499492	0.14808193656083135	0.1618957566519446	0.1371293706988768	0.15628946043297093	0.15853908479160622	0.15346737329948174	0.147519837459832	0.19506291186997737	0.3168673341782943	
3120000000	-10142.889855774414	-9950.758196592275	-192.13165918213903	-852.1634993768549	-756.8630715077072	-804.1140804681426	-776.2812779219528	-848.9785169894631	-864.7065538984701	-778.5361308130326	-814.2636748139596	-760.3830834574123	-897.550837900409	-815.1754333706926	-650.8441948838636	-330.8978411903134	24.891621374654182	2044.1585254991614	0.16236673280786293	0.14685099286639308	0.141163632635709	0.1267721664538578	0.06724756119053954	0.08607823869512111	0.06615112031099561	0.04816828689679421	0.048454477430855396	0.039854031626724955	0.025111283939609437	0.017978768048012964	0.0048580318622689815	0.003611410780453111	0.004289960726555045	0.0036209821586365002	0.0037032838420241227	7.171073265493312E-4	0.003001930401033825	0.49140022624950774	8.0E-5	0.017255504618711604	0.13114775313494478	0.11376938627635833	0.12177715927604468	0.1461455230040464	0.14499917001796822	0.13443102463845408	0.1222728984581983	0.14071309345724323	0.16222378469684773	0.16051602203562404	0.1242659832105034	0.1520960257036472	0.2836489588711976	
3121000000	-10132.374598156604	-9934.058462428917	-198.31613572768853	-845.7316988725054	-750.2518281373408	-807.9784364619212	-765.8075120654265	-832.0364285935522	-867.047243877713	-783.9630141968879	-808.9415769828539	-754.1890629724012	-907.5093555352596	-815.2065481259218	-651.1913629427695	-344.20439366436347	24.89415955659118	1902.6284278608698	0.15584833604112125	0.14342397049442399	0.14482316977967793	0.11720771897538558	0.08178730176910606	0.09099731284668709	0.0638126639163129	0.05109179878019817	0.04680388709619524	0.03685390879305251	0.03054655425044486	0.016889253462628543	0.0037746351567598123	0.0032038279223567242	0.0046956317769089794	0.0030138212211443206	0.0035315047613113026	3.5185652433236485E-4	0.0013428464319492732	0.6552480892396906	8.0E-5	0.15235818929826422	0.1354856197364733	0.10909001134183789	0.14576682680704312	0.13248601394441736	0.16446455026740228	0.14647834978158325	0.12771727048088577	0.17239571594605946	0.16776374428962673	0.17846563550009306	0.14103907923229275	0.18069728281667774	0.29467077039588924	
3122000000	-10141.4255354216	-9944.547865660417	-196.877669761183	-844.3515262013044	-756.9632916412113	-816.2519816845308	-782.2873125156926	-829.0776291058096	-872.2879832175461	-783.6569599770867	-815.6099170666054	-754.1684829894336	-905.0471822995064	-818.9152449933946	-647.1853724863954	-318.74498148189934	24.856829899789624	2006.7333986998258	0.16975475654886943	0.120936781591579	0.13587113346997667	0.12401509918850893	0.08602182893020481	0.09421661317331909	0.061169455689409284	0.05408410280786756	0.04607333012534293	0.03948966213302215	0.025744664439174496	0.01992701308637159	0.006237364029426013	0.004539083787956648	0.0018107375151552516	0.003032241706696781	0.003381257333940746	0.0014784568857292507	0.002216417557446104	0.4970612155298581	8.0E-5	0.04075942511978332	0.1276001728104471	0.11366766394952678	0.11787159129171608	0.13229281317458322	0.1512371221155795	0.13686040452592604	0.12365107097504202	0.13344648011489318	0.17979318496871652	0.1607601056841808	0.13871901742488368	0.17064518239726675	0.32805736450081086	
3123000000	-10128.481934456137	-9941.961041696184	-186.52089275995326	-847.7135114676638	-760.9568451497141	-799.0418186392573	-789.4438328575585	-832.0608435241256	-863.9750425887158	-769.0611116019112	-801.9558965924856	-761.5917030602367	-888.0901875910487	-833.7101625902812	-649.4351531812008	-344.92493285198464	24.996694880122718	2038.9026978149036	0.14996589330525456	0.1387160239731478	0.1364168378948721	0.11935305719971123	0.0834709463779366	0.0981191121741955	0.06852723422147562	0.043419913748706566	0.052320891010721314	0.039188424411079746	0.028943993411760762	0.015883076858956013	0.004234073685889078	0.003994157006268591	0.003227376334608281	0.005220125870315144	0.006336581230618684	0.0013027258468055892	0.0013595554376734775	0.5548815207862786	8.0E-5	0.09353325880910111	0.1251471214518883	0.11768562923527452	0.12692510105342608	0.14761748161746469	0.12627254973565372	0.1241555661533027	0.11305125807079616	0.16214546820965686	0.16442692393915662	0.15334903098037603	0.1382578075962882	0.15170451704390026	0.25951227422483975	
3124000000	-10140.570333021768	-9952.439392896777	-188.1309401249911	-845.030954541658	-748.2339792724533	-810.5722032445661	-804.3541825915354	-832.7053515817692	-865.5415793362843	-770.061285307326	-808.880185897185	-758.0134794310052	-910.3087799568054	-836.6160559666376	-639.0678101942428	-323.0535455753089	24.669750767359687	1909.2872176950018	0.15134058844869558	0.14272485618676975	0.13483488350366707	0.12722035606095383	0.08377767452624402	0.09088728341464034	0.06264686411762962	0.04650589316770192	0.04629653685125403	0.03984807053485044	0.029401001950275143	0.018682916130661108	0.0036708593304309	0.0038717513603559687	0.004687873553314399	0.004487084080771583	0.004902655796432366	3.609740425808076E-4	0.003851876942767809	0.5271497557815304	8.0E-5	0.029426980731037576	0.12963528273086242	0.12248428665132575	0.14429274832857347	0.13961435049890117	0.1525073927376462	0.14194160457182634	0.1307825395090492	0.16853041487560677	0.17644677382545873	0.1662428985402245	0.13834629947706714	0.15155759310538816	0.35550916123846127	
3125000000	-10133.12298389702	-9938.219481256638	-194.90350264038167	-847.6718774498347	-754.4621024383835	-808.8351091110632	-790.5662714915027	-846.8460735410256	-862.8876098784774	-774.521045610493	-810.5829005835221	-748.0815889031851	-888.7558394376395	-816.4639081745325	-655.0482569507393	-333.49689768623955	24.88703100093059	1972.684988437448	0.15603702663432523	0.13278941274328995	0.1373710619538604	0.12162353714718104	0.08303516512127719	0.08869472703157891	0.06624845640732731	0.049292490331695055	0.05112992761203478	0.04013794415628746	0.02906092038597387	0.020134467059525155	0.004249420897354354	0.005396687028558167	0.0024797376350953284	0.005279467424432088	0.004444394588023062	0.0016204957763223393	9.74660065855002E-4	0.5453092516056676	8.0E-5	0.06368155986463017	0.1407475547927152	0.1290407906614155	0.13597164175699095	0.1435906127713801	0.14029100028621458	0.14013504856881356	0.12420224874322329	0.1598485641246582	0.16459286613160226	0.1564235696067405	0.14585989388461953	0.1766591767146183	0.26715344148030096	
3126000000	-10129.910568330726	-9932.102745668422	-197.80782266230455	-842.5264086837076	-758.8803804445934	-802.8173987352379	-776.9688549095026	-838.2706708297728	-860.5504947630009	-771.356833073608	-827.994052291604	-764.0163052155013	-893.7238711943178	-813.3774509772198	-645.6115227648492	-336.00850178550803	24.888228810530023	2015.637174533425	0.15948690463052756	0.13568208876548918	0.133520978111019	0.12184470285542645	0.08364792638736744	0.0875981707450853	0.0595932348295867	0.0396885666626242	0.0516270576584686	0.04125339951746482	0.03875551123111315	0.023862331738832544	0.0039576625104633875	0.004801156701303704	0.003269646986949989	0.0044030771673703945	0.004123719850316511	0.0010061844291816252	0.0018776792214060482	0.5260875938861789	8.0E-5	0.05762584703500301	0.12905166901867088	0.11780522973243208	0.1347126673447856	0.13490721438362543	0.14306197652308553	0.14701205042607157	0.13223904479379592	0.18532552438973066	0.15398616585248082	0.16480231332719492	0.13616564427152986	0.16821672281923514	0.23654504916837477	
3127000000	-10132.817900103917	-9945.332293430465	-187.48560667345237	-846.355188109764	-753.906347707506	-806.8903487030138	-784.7002198016246	-838.8817742759142	-870.4977647210549	-771.3614908806604	-821.8935923834055	-763.9036698830901	-876.4012761707384	-833.3240976706927	-645.3328762439634	-331.88364687903703	24.39550348772974	1974.0204449456078	0.15865246853660278	0.1337696835827185	0.1357610822296914	0.11721151640985486	0.07747798151051632	0.08335834867913225	0.06432968513800709	0.057908944961651464	0.04590106269341432	0.04274854055505508	0.03488779653660893	0.020946403023546122	0.004708798394127622	0.007627173381349647	0.002503568985904102	0.004278701671103695	0.006681782893534559	7.537656257035205E-4	4.926951914741462E-4	0.5408746695108864	8.0E-5	0.062179839807892025	0.1304214200453112	0.12297786647081033	0.13569047771450485	0.1480740880860943	0.16169965399355624	0.13270511795209317	0.13577606222682234	0.18990390083136258	0.1489617714860067	0.16426720526618954	0.1342387106429325	0.17297011595480113	0.23141694343891553	
3128000000	-10139.109787980457	-9942.209635958046	-196.90015202240994	-834.5479033455177	-754.7719039638565	-799.8205269595137	-772.907107606316	-831.2962152608579	-867.4513113651178	-795.821578668751	-828.6905752376656	-763.7900942480055	-899.0699940745407	-820.0396481489573	-651.0522373607247	-322.95053971822074	24.796819577032828	1972.8386024455633	0.17048529174965502	0.1442985252387842	0.13094378465767226	0.11798222188410021	0.06710917979248479	0.09528904865762086	0.06134244059228828	0.046985231472442476	0.049868179179393464	0.04493057045324167	0.025657500502154214	0.01623089525922891	0.005277569938084542	0.007574666252179535	0.0037508423892536696	0.004541417200325195	0.004701014703505175	0.001025205885368848	0.002006414192213148	0.5406548283593464	8.0E-5	0.0667666170937222	0.13999854687961708	0.13742915322239443	0.1410500268820739	0.13237463628252366	0.144547677973757	0.14603192868958773	0.1470241022898984	0.16769668932002987	0.1667781343681791	0.15035170570881043	0.13775431116208098	0.15528687964388851	0.26446783001835394	
3129000000	-10126.469330779286	-9931.999442134082	-194.46988864520395	-844.6680403610134	-754.5377799120847	-814.3439298646643	-769.8092846084811	-836.5500083983312	-872.8248092202477	-779.3727039079328	-809.2647245866708	-757.755493259128	-909.5125603407312	-802.7233230638262	-650.9604925966084	-329.6762920143606	24.59975257369673	1941.3641067101457	0.16766098415883898	0.14672662705517275	0.13333988420167137	0.11516646617105682	0.07452134716104009	0.08416219723106827	0.06061906028888296	0.047044929844037686	0.05327756710551137	0.04316120877541668	0.02993510512271496	0.02202710671876056	0.004034346884978189	0.004044773526029841	0.002223309723888911	0.005530505329065214	0.00428126511003337	0.001028510883970015	0.0012148047078583933	0.5227158595586556	8.0E-5	0.04121050018089194	0.1273004712411101	0.1370851369245607	0.13599422828108904	0.13811837834026175	0.14865864218685537	0.1367371977224209	0.12637375411890941	0.15859777076260292	0.1617564191816915	0.15496747133078176	0.13854502811139444	0.1589172823724972	0.3159925125224154	
3130000000	-10133.317532605814	-9940.984502040887	-192.33303056492628	-841.8157921378147	-756.747643091032	-804.2146792007323	-772.3774293245268	-835.0044723530503	-866.7417167774331	-772.1366174173556	-824.5473264960059	-749.4798449247905	-913.4377831434721	-822.979923954539	-650.1367016401408	-331.36457157999445	24.603197841227725	1974.7799611976066	0.16038047244157322	0.1517671477506521	0.1315786545396195	0.12530826760493333	0.08027026804212914	0.08326000338580747	0.057289677330411154	0.05192190657762989	0.0532499217057619	0.03318898583972475	0.03145329754160395	0.01679759549644482	0.0035356472383175127	0.0036107492604135665	0.004042188001031841	0.00461539057676731	0.004872518303462677	0.0014168483042262749	0.0014404600594860924	0.5101460194853583	8.0E-5	0.029246305797359692	0.1334660332643417	0.12076246544782303	0.13104484929216484	0.13280994165833146	0.1477207952153672	0.13989899551706184	0.13498610480988482	0.15221072016780507	0.14910771145260251	0.16798337404239	0.14750859160267757	0.17250057413648404	0.24865993954635437	
3131000000	-10139.778213143121	-9950.865572810819	-188.9126403323022	-849.4830687290863	-764.0295684718213	-803.198786424101	-761.9962543854356	-830.1978054990657	-867.7387456762068	-769.3764943288519	-821.8445863042938	-767.678436442779	-900.9428937949598	-819.1450309228195	-654.585138558094	-340.64876327330416	24.36375166447319	1972.5220339841226	0.16326610029339955	0.13705433486984303	0.14026699107682428	0.1280723258186665	0.0756840670120311	0.09539940131649025	0.05730957636574143	0.051160670035400355	0.043684539671921326	0.03803288767368408	0.027934497240933293	0.017336461806996183	0.004523709829115835	0.003473685271951195	0.003596965858122402	0.005294366662440025	0.0035200341644625577	0.002217002217096762	0.002172382814876174	0.5221797072968615	8.0E-5	0.03741013630870661	0.14310275479520668	0.14788439531902278	0.14126071649829683	0.13372282526730028	0.1342088385537174	0.12689712759457747	0.1284620514999307	0.1437207885291644	0.15975484002757176	0.15776176207986847	0.15078838287246918	0.15467814178693035	0.21593116294062634	
3132000000	-10155.282222939502	-9956.737606262976	-198.5446166765262	-845.3263785377552	-758.2892164247666	-810.1160274904162	-778.8776920409393	-833.322525544126	-863.2110318833294	-787.6131941076042	-814.1970318314833	-756.7073082436766	-899.4227320485066	-822.1007134928398	-656.3754855538564	-331.17826906367753	24.864147407129252	1983.137062478579	0.1705657281783235	0.12607647333535077	0.13845555907777846	0.1229996097347882	0.0713547567536281	0.09029958898003025	0.05752180222670314	0.04834613791029776	0.055894988994646	0.0436839426914777	0.030655877004039545	0.02082313333829326	0.005396451245922117	0.004637959462963988	0.0029743316481681543	0.005137627763651653	0.0031794765677544117	0.001009186888381931	9.873681977974312E-4	0.6371036646938726	8.0E-5	0.17213091421031085	0.15588770741587046	0.1314520895663083	0.1346192139225519	0.13263964318644245	0.15107884607299182	0.1359920277162263	0.1439254493426655	0.18981842022738185	0.17365222931523572	0.15496747718368944	0.13060905843754095	0.16538964633621808	0.2855505746471934	
3133000000	-10146.537470018216	-9949.474446654875	-197.06302336334122	-851.2052110598034	-759.1945333911631	-808.5133951976816	-778.1589656358917	-835.119852137284	-869.1080117486698	-769.3531547655083	-809.912997235866	-764.4976593373007	-899.637000411725	-824.9170946099408	-646.6367000027288	-333.21987112131103	24.530629975996824	1915.1467665871144	0.15219203806722278	0.13517801334326	0.13977991464378678	0.1321950378287724	0.07113256181962598	0.09480449586823912	0.060135723647780005	0.04498540476578127	0.051422588958289106	0.04677035009117729	0.02776152845494052	0.021156553949970357	0.0026622000339417283	0.005319856600115243	0.002776650871454148	0.0055316411607200175	0.0030669178595200916	0.0024840726411282108	6.444493942714398E-4	0.6814841460296347	8.0E-5	0.2024970267197738	0.15031557663590547	0.11934152392906144	0.13385040261858475	0.13757243377905656	0.15467183219982053	0.15404736141718692	0.13917613566765324	0.16051814255369248	0.14719741476115789	0.16230432675003675	0.12773083572582414	0.19430375034254121	0.23690107720169265	
